34,1,1
281,1,-1
299,1,1
446,1,-1
468,1,1
559,1,1
596,1,-1
637,1,1
716,1,1
767,1,1
851,1,1
989,1,1
154,2,1
210,2,1
219,2,1
288,2,1
292,2,-1
293,2,1
317,2,1
374,2,1
401,2,1
466,2,1
513,2,1
564,2,-1
763,2,-1
776,2,1
880,2,-1
916,2,1
937,2,-1
953,2,1
76,3,1
103,3,1
110,3,1
224,3,1
229,3,-1
306,3,1
406,3,-1
474,3,1
521,3,1
541,3,1
617,3,1
769,3,1
845,3,1
949,3,-1
7,4,1
48,4,1
99,4,-1
108,4,1
111,4,1
172,4,1
235,4,1
439,4,1
466,4,1
527,4,-1
573,4,1
662,4,1
762,4,1
799,4,1
842,4,-1
857,4,-1
861,4,1
954,4,1
198,5,1
212,5,-1
223,5,-1
231,5,1
300,5,-1
352,5,1
453,5,-1
472,5,-1
519,5,1
575,5,1
585,5,1
822,5,-1
915,5,1
115,6,1
158,6,1
217,6,1
260,6,1
387,6,-1
449,6,1
505,6,1
528,6,-1
534,6,-1
624,6,-1
717,6,1
720,6,1
772,6,1
780,6,1
784,6,1
827,6,-1
972,6,1
4,7,1
76,7,1
111,7,1
140,7,1
141,7,1
147,7,1
172,7,1
439,7,1
527,7,-1
583,7,1
612,7,1
639,7,1
734,7,1
799,7,1
842,7,-1
857,7,-1
69,8,1
386,8,1
447,8,1
467,8,-1
478,8,1
646,8,1
651,8,1
715,8,1
747,8,1
760,8,1
889,8,1
933,8,1
953,8,1
961,8,1
981,8,1
995,8,-1
998,8,1
1,9,1
82,9,1
160,9,1
209,9,1
220,9,1
248,9,1
270,9,1
274,9,1
329,9,1
381,9,-1
517,9,1
588,9,1
832,9,-1
835,9,-1
887,9,-1
892,9,1
896,9,-1
986,9,1
35,10,-1
173,10,1
238,10,1
403,10,1
630,10,1
687,10,1
772,10,1
950,10,1
996,10,-1
46,11,1
69,11,1
145,11,1
234,11,1
315,11,1
393,11,1
459,11,1
487,11,-1
497,11,-1
686,11,1
747,11,1
